przekrój żyły;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa
1,5;19;17;18,5;16,5;22;19,5;26;24;17;20;26
2,5;26;23;25;22;30;26;36;32;23;28;34
4;35;31;33;30;40;35;49;42;31;37;44
6;45;40;42;38;51;44;63;53;40;48;56
10;61;54;57;51;69;60;86;74;54;66;77
16;81;73;76;68;91;80;115;98;73;88;102
25;106;95;99;89;119;105;149;133;95;117;138
35;131;117;121;109;146;128;185;162;117;144;170
50;158;141;145;130;175;154;225;197;141;175;207
70;200;179;183;164;221;194;289;250;179;222;263
95;241;216;220;197;265;233;352;308;216;269;325
120;278;249;253;227;305;268;410;359;249;312;380
150;318;285;290;259;334;300;473;412;285;342;437
185;362;324;329;295;384;340;542;475;324;384;507
240;424;380;386;346;459;398;641;564;380;450;604
300;486;435;442;396;532;455;741;649;435;514;697
