1,5;19;17;18,5;16,5;22;19,5;26;23;40;34;29;24;;17;20;;34;24
2,5;26;23;25;22;30;26;36;32;52;45;38;33;;23;28;;45;33
4;35;31;33;30;40;35;49;42;69;58;50;42;;31;37;;58;42
6;45;40;42;38;51;44;63;54;87;73;62;51;;40;48;;73;51
10;61;54;57;51;69;60;86;75;115;97;83;68;;54;66;;97;68
16;81;73;76;68;91;80;115;100;150;126;107;88;;73;88;;126;88
25;106;95;99;89;119;105;149;127;193;160;136;113;;95;117;135;160;113
35;131;117;121;109;146;128;185;158;232;193;164;135;;117;144;169;193;135
50;158;141;145;130;175;154;225;192;274;229;193;159;;141;175;207;229;159
70;200;179;183;164;221;194;289;246;337;282;239;197;;179;222;268;282;197
95;241;216;220;197;265;233;352;298;405;339;282;232;;216;269;328;339;232
120;278;249;253;227;305;268;410;346;459;385;319;263;;249;312;383;385;263
150;318;285;290;259;334;300;473;399;514;430;361;296;;285;342;444;430;296
185;362;324;329;295;384;340;542;456;580;486;404;331;;324;384;510;486;331
240;424;380;386;346;459;398;641;538;672;562;466;382;;380;450;607;562;382
300;486;435;442;396;532;455;741;621;753;628;526;430;;435;514;703;628;430
